state,action,q_value
0,0,7e-05
0,1,6e-05
0,2,0.00013
3,0,0.00012
3,1,0.00012
3,2,0.00023
15,0,0.00306
15,1,0.00304
15,2,0.00546
12,0,0.0004
12,1,0.0004
12,2,0.00093
24,0,0.00114
24,1,0.00113
24,2,0.00228
36,0,0.0029
36,1,0.00288
36,2,0.0048
18,0,0.00715
18,1,0.00705
18,2,0.01372
6,0,0.00029
6,1,0.00029
6,2,0.00057
21,0,0.01274
21,1,0.01265
21,2,0.02898
33,0,0.085
33,1,0.0901
33,2,0.19895
27,0,0.01625
27,1,0.01643
27,2,0.02983
39,0,0.06484
39,1,0.06504
39,2,0.1347
30,0,0.04261
30,1,0.04289
30,2,0.08203
9,0,0.0005
9,1,0.00049
9,2,0.00084
42,0,0.20957
42,1,0.20869
42,2,0.42787
45,0,0.0
45,1,0.0
45,2,0.0
