state,action,q_value
0,0,4e-05
0,1,4e-05
0,2,7e-05
12,0,0.0003
12,1,0.00029
12,2,0.00058
24,0,0.00088
24,1,0.00091
24,2,0.00203
3,0,8e-05
3,1,8e-05
3,2,0.00013
6,0,0.00018
6,1,0.00018
6,2,0.00048
27,0,0.01283
27,1,0.01288
27,2,0.02734
15,0,0.00216
15,1,0.00218
15,2,0.00461
36,0,0.00171
36,1,0.00169
36,2,0.00281
9,0,0.00039
9,1,0.0004
9,2,0.00091
21,0,0.0104
21,1,0.01073
21,2,0.02439
18,0,0.0054
18,1,0.00541
18,2,0.01157
39,0,0.05416
39,1,0.05391
39,2,0.11475
30,0,0.03705
30,1,0.03609
30,2,0.07892
42,0,0.19125
42,1,0.18668
42,2,0.38677
45,0,0.0
45,1,0.0
45,2,0.0
33,0,0.07912
33,1,0.08078
33,2,0.1557
