state,action,q_value
0,0,0.33686
0,1,0.33676
0,2,0.34088
3,0,0.29152
3,1,0.2918
3,2,0.29757
6,0,0.28445
6,1,0.28416
6,2,0.28997
9,0,0.28754
9,1,0.28767
9,2,0.29503
12,0,0.37067
12,1,0.36978
12,2,0.38224
24,0,0.39578
24,1,0.39551
24,2,0.40851
36,0,0.42339
36,1,0.42308
36,2,0.4281
15,0,0.34021
15,1,0.3408
15,2,0.35003
27,0,0.40381
27,1,0.40383
27,2,0.43191
18,0,0.34775
18,1,0.34763
18,2,0.36889
21,0,0.3738
21,1,0.37328
21,2,0.40017
30,0,0.42467
30,1,0.42398
30,2,0.46418
42,0,0.57798
42,1,0.57592
42,2,0.60674
45,0,0.0
45,1,0.0
45,2,0.0
39,0,0.53147
39,1,0.53641
39,2,0.57127
33,0,0.44798
33,1,0.44915
33,2,0.46688
