state,action,q_value
0,0,0.0299
0,1,0.02986
0,2,0.03388
12,0,0.0528
12,1,0.05266
12,2,0.05905
3,0,0.02506
3,1,0.02498
3,2,0.02804
15,0,0.08403
15,1,0.08502
15,2,0.09496
24,0,0.07007
24,1,0.07052
24,2,0.07391
6,0,0.029
6,1,0.02903
6,2,0.03363
9,0,0.03318
9,1,0.03319
9,2,0.03995
18,0,0.11316
18,1,0.11322
18,2,0.13199
36,0,0.08415
36,1,0.08408
36,2,0.09614
39,0,0.34948
39,1,0.35182
39,2,0.41042
21,0,0.13557
21,1,0.13617
21,2,0.16368
30,0,0.24277
30,1,0.24329
30,2,0.26646
27,0,0.18345
27,1,0.18343
27,2,0.19785
42,0,0.47623
42,1,0.47977
42,2,0.53331
33,0,0.27872
33,1,0.27885
33,2,0.31802
45,0,0.0
45,1,0.0
45,2,0.0
