state,action,q_value
0,0,0.0
0,1,0.0
0,2,0.0
12,0,0.0
12,1,0.0
12,2,0.0
3,0,0.0
3,1,0.0
3,2,0.0
6,0,0.0
6,1,0.0
6,2,0.0
18,0,3e-05
18,1,3e-05
18,2,0.00031
15,0,0.0
15,1,0.0
15,2,3e-05
24,0,0.0
24,1,0.0
24,2,1e-05
27,0,9e-05
27,1,9e-05
27,2,0.00098
30,0,0.00123
30,1,0.00123
30,2,0.01275
39,0,0.00169
39,1,0.00167
39,2,0.02233
33,0,0.01227
33,1,0.01213
33,2,0.11322
36,0,1e-05
36,1,1e-05
36,2,0.0001
21,0,0.00024
21,1,0.00024
21,2,0.00249
9,0,0.0
9,1,0.0
9,2,1e-05
42,0,0.03284
42,1,0.03272
42,2,0.45363
45,0,0.0
45,1,0.0
45,2,0.0
